s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count
0e1,"POLYGON ((-5.059868846264116 16.47390220016713, 0 16.53483785734516, 0 22.61986494804042, -5.059868846264117 22.54054940194471, -5.059868846264116 16.47390220016713))",1.000,1.000,1.000,0,0,0,790
119,"POLYGON ((5.059868846264116 16.47390220016713, 10.61965527615513 16.26672649011948, 10.61965527615513 22.27057548800819, 5.059868846264117 22.54054940194471, 5.059868846264116 16.47390220016713))",0.723,0.767,0.809,253804,162983,80423,554703
167,"POLYGON ((34.5085229876684 13.74670252512002, 39.98123465891889 12.81566331979315, 39.98123465891889 17.70687285471333, 34.5085229876684 18.9499500044539, 34.5085229876684 13.74670252512002))",0.777,0.801,0.829,1763728,1251203,694055,4819469
3d7,"POLYGON ((45 3.582521766172679, 50.01876534108111 3.881312186924027, 50.01876534108111 8.175896074358709, 45 7.552372279897661, 45 3.582521766172679))",0.730,0.773,0.791,372209,266273,219627,684524
0ed,"POLYGON ((-22.61986494804043 9.8193006387579, -16.53483785734515 10.18989264617986, -16.53483785734515 15.88626236166589, -22.61986494804043 15.32501998539171, -22.61986494804043 9.8193006387579))",0.768,0.787,0.807,1019197,809602,599278,2528433
139,"POLYGON ((16.53483785734515 27.66622518241585, 22.61986494804042 26.7849955075022, 22.61986494804043 32.39984017391932, 16.53483785734516 33.38766721236327, 16.53483785734515 27.66622518241585))",1.000,1.000,1.000,0,0,0,21
0c7,"POLYGON ((-22.61986494804042 26.7849955075022, -16.53483785734515 27.66622518241585, -16.53483785734516 33.38766721236327, -22.61986494804043 32.39984017391932, -22.61986494804042 26.7849955075022))",0.705,0.759,0.810,423872,290513,147132,650493
1a3,"POLYGON ((16.53483785734515 -10.18989264617986, 22.61986494804043 -9.8193006387579, 22.61986494804043 -4.67244275538945, 16.53483785734516 -4.851647556935838, 16.53483785734515 -10.18989264617986))",0.636,0.679,0.724,2968732,2626865,2181712,3195929
1ed,"POLYGON ((28.67314648943499 -25.63226655107013, 34.5085229876684 -24.25860976441469, 34.5085229876684 -18.9499500044539, 28.67314648943499 -20.08096213071963, 28.67314648943499 -25.63226655107013))",0.779,0.803,0.829,5072516,3812501,2201367,10027715
219,"POLYGON ((50.01876534108111 -22.73590953009369, 55.4914770123316 -24.25860976441469, 55.49147701233161 -18.9499500044539, 50.01876534108111 -17.70687285471333, 50.01876534108111 -22.73590953009369))",0.786,0.806,0.842,200986,156160,67396,415353
189,"POLYGON ((39.98123465891889 -12.81566331979315, 45 -11.85551661629703, 45 -7.552372279897661, 39.98123465891889 -8.175896074358709, 39.98123465891889 -12.81566331979315))",0.706,0.731,0.771,190547,167364,125707,279374
231,"POLYGON ((55.4914770123316 -8.783194988097531, 61.326853510565 -9.341889685888818, 61.326853510565 -4.442038523400337, 55.4914770123316 -4.173022773894666, 55.4914770123316 -8.783194988097531))",0.682,0.711,0.719,19029,16796,16144,25102
173,"POLYGON ((22.61986494804043 4.67244275538945, 28.67314648943499 4.442038523400337, 28.67314648943499 9.341889685888818, 22.61986494804043 9.8193006387579, 22.61986494804043 4.67244275538945))",0.768,0.775,0.782,74636,68901,61185,172737
093,"POLYGON ((-28.67314648943499 9.341889685888818, -22.61986494804043 9.8193006387579, -22.61986494804043 15.32501998539171, -28.67314648943499 14.59941342503042, -28.67314648943499 9.341889685888818))",0.779,0.799,0.843,65763,47187,13741,219324
129,"POLYGON ((0 34.5085229876684, 5.059868846264117 34.40415724063815, 5.059868846264117 39.87112800298822, 0 39.98123465891889, 0 34.5085229876684))",0.785,0.802,0.827,2439960,1783354,916043,8800808
18d,"POLYGON ((34.5085229876684 -18.9499500044539, 39.98123465891889 -17.70687285471333, 39.98123465891889 -12.81566331979315, 34.5085229876684 -13.74670252512002, 34.5085229876684 -18.9499500044539))",0.647,0.690,0.744,9988170,8921079,7181514,10903438
145,"POLYGON ((28.67314648943499 25.63226655107013, 34.5085229876684 24.25860976441469, 34.5085229876684 29.53280370582265, 28.67314648943499 31.09807140426155, 28.67314648943499 25.63226655107013))",0.806,0.822,0.840,1116559,657996,285568,14558746
11f,"POLYGON ((0 16.53483785734516, 5.059868846264116 16.47390220016713, 5.059868846264117 22.54054940194471, 0 22.61986494804042, 0 16.53483785734516))",0.759,0.785,0.789,28801,19375,17996,139308
1bf,"POLYGON ((16.53483785734516 -21.77355606643973, 22.61986494804042 -21.03751102542181, 22.61986494804043 -15.32501998539171, 16.53483785734515 -15.88626236166589, 16.53483785734516 -21.77355606643973))",0.761,0.766,0.809,365456,347578,179815,789739
111,"POLYGON ((10.61965527615513 10.44179817172576, 16.53483785734515 10.18989264617986, 16.53483785734515 15.88626236166589, 10.61965527615513 16.26672649011948, 10.61965527615513 10.44179817172576))",0.716,0.747,0.777,1679051,1327965,939863,2591787
165,"POLYGON ((34.5085229876684 8.783194988097531, 39.98123465891889 8.175896074358709, 39.98123465891889 12.81566331979315, 34.5085229876684 13.74670252512002, 34.5085229876684 8.783194988097531))",0.707,0.749,0.790,15464005,12413256,8962310,21173740
17f,"POLYGON ((39.98123465891889 0, 45 0, 45 3.582521766172679, 39.98123465891889 3.881312186924027, 39.98123465891889 0))",0.696,0.724,0.770,737540,649091,469972,978172
0e9,"POLYGON ((-16.53483785734515 15.88626236166589, -10.61965527615513 16.26672649011948, -10.61965527615513 22.27057548800819, -16.53483785734516 21.77355606643973, -16.53483785734515 15.88626236166589))",0.752,0.784,0.814,1469710,1143230,767688,2473719
10b,"POLYGON ((16.53483785734516 0, 22.61986494804042 0, 22.61986494804043 4.67244275538945, 16.53483785734516 4.851647556935838, 16.53483785734516 0))",0.629,0.678,0.730,2404062,2123251,1724598,2548300
121,"POLYGON ((0 22.61986494804042, 5.059868846264117 22.54054940194471, 5.059868846264117 28.57906855098932, 0 28.67314648943499, 0 22.61986494804042))",0.794,0.800,0.815,28998,25098,17453,257773
1f7,"POLYGON ((39.98123465891889 -27.78027316318915, 45 -25.92605088194581, 45 -21.14143744584222, 39.98123465891889 -22.73590953009369, 39.98123465891889 -27.78027316318915))",0.636,0.686,0.745,657747,570479,409282,707377
